symbol,CVSAId,category,market,currency,settlPeriod,lotSize,minimumSize,block,isin,instrumentStatus,issuer,securityDescription,tickPriceId
SUPVD,30035,01-ACCIONES PRIVADAS,CT,USD,0002,1.0000000,1.00000,0,ARGRSU300079,0,4046-GRUPO SUPERVIELLE S.,GRUPO SUPERVIELLE ACC.ORD. B 1,Tick_Acciones_Lider_CEDEAR
SUPVD,30035,01-ACCIONES PRIVADAS,CT,USD,0001,1.0000000,1.00000,0,ARGRSU300079,0,4046-GRUPO SUPERVIELLE S.,GRUPO SUPERVIELLE ACC.ORD. B 1,Tick_Acciones_Lider_CEDEAR
SUPVC,30035,01-ACCIONES PRIVADAS,CT,EXT,0002,1.0000000,1.00000,0,ARGRSU300079,0,4046-GRUPO SUPERVIELLE S.,GRUPO SUPERVIELLE ACC.ORD. B 1,Tick_Acciones_Lider_CEDEAR
SUPVC,30035,01-ACCIONES PRIVADAS,CT,EXT,0001,1.0000000,1.00000,0,ARGRSU300079,0,4046-GRUPO SUPERVIELLE S.,GRUPO SUPERVIELLE ACC.ORD. B 1,Tick_Acciones_Lider_CEDEAR
TECOD,807,01-ACCIONES PRIVADAS,CT,USD,0002,1.0000000,1.00000,0,ARP9028N1016,0,0365-TELECOM ARGENTINA S.,"TELECOM ARG. ESCRIT. ""B"" 1 V.",Tick_Acciones_Lider_CEDEAR
TECOD,807,01-ACCIONES PRIVADAS,CT,USD,0001,1.0000000,1.00000,0,ARP9028N1016,0,0365-TELECOM ARGENTINA S.,"TELECOM ARG. ESCRIT. ""B"" 1 V.",Tick_Acciones_Lider_CEDEAR
CELUD,205,01-ACCIONES PRIVADAS,CT,USD,0002,0.0100000,0.01000,0,ARCELU010021,1,0019-CELULOSA ARGENTINA S,CELULOSA ARG. S.A. PREFERIDAS,Tick_Acciones
BYMA,30038,01-ACCIONES PRIVADAS,CT,ARS,0002,1.0000000,1.00000,0,ARBYMA300018,0,5047-BOLSAS Y MERCADOS AR,BOLSAS Y MERCADOS ARG. $ ORD.,Tick_Acciones_Lider_CEDEAR
BYMA,30038,01-ACCIONES PRIVADAS,CT,ARS,0001,1.0000000,1.00000,0,ARBYMA300018,0,5047-BOLSAS Y MERCADOS AR,BOLSAS Y MERCADOS ARG. $ ORD.,Tick_Acciones_Lider_CEDEAR
MOLA,30041,01-ACCIONES PRIVADAS,CT,ARS,0002,1.0000000,1.00000,0,ARMOAG300023,0,5105-MOLINOS AGRO S.A.,MOLINOS AGRO S.A. CL. B 1 V $,Tick_Acciones
MOLA,30041,01-ACCIONES PRIVADAS,CT,ARS,0001,1.0000000,1.00000,0,ARMOAG300023,0,5105-MOLINOS AGRO S.A.,MOLINOS AGRO S.A. CL. B 1 V $,Tick_Acciones
MOLA5,30040,01-ACCIONES PRIVADAS,CT,ARS,0002,1.0000000,1.00000,0,ARMOAG300015,0,5105-MOLINOS AGRO S.A.,MOLINOS AGRO S.A. CL. A 5 V $,Tick_Acciones
MOLA5,30040,01-ACCIONES PRIVADAS,CT,ARS,0001,1.0000000,1.00000,0,ARMOAG300015,1,5105-MOLINOS AGRO S.A.,MOLINOS AGRO S.A. CL. A 5 V $,Tick_Acciones
TECOC,807,01-ACCIONES PRIVADAS,CT,EXT,0002,1.0000000,1.00000,0,ARP9028N1016,0,0365-TELECOM ARGENTINA S.,"TELECOM ARG. ESCRIT. ""B"" 1 V.",Tick_Acciones_Lider_CEDEAR
